Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-01-02,1465.199951,1553.359985,1460.930054,1539.130005,1539.130005,7983100,Amazon
2019-01-03,1520.01001,1538.0,1497.109985,1500.280029,1500.280029,6975600,Amazon
2019-01-04,1530.0,1594.0,1518.310059,1575.390015,1575.390015,9182600,Amazon
2019-01-07,1602.310059,1634.560059,1589.189941,1629.51001,1629.51001,7993200,Amazon
2019-01-08,1664.689941,1676.609985,1616.609985,1656.579956,1656.579956,8881400,Amazon
2019-01-09,1652.97998,1667.800049,1641.400024,1659.420044,1659.420044,6348800,Amazon
2019-01-10,1641.01001,1663.25,1621.619995,1656.219971,1656.219971,6507700,Amazon
2019-01-11,1640.550049,1660.290039,1636.219971,1640.560059,1640.560059,4686200,Amazon
2019-01-14,1615.0,1648.199951,1595.150024,1617.209961,1617.209961,6005900,Amazon
2019-01-15,1632.0,1675.160034,1626.01001,1674.560059,1674.560059,5998500,Amazon
2019-01-16,1684.219971,1705.0,1675.880005,1683.780029,1683.780029,6366900,Amazon
2019-01-17,1680.0,1700.1700440000002,1677.5,1693.219971,1693.219971,4208900,Amazon
2019-01-18,1712.0,1716.199951,1691.540039,1696.199951,1696.199951,6020500,Amazon
2019-01-22,1681.0,1681.869995,1610.199951,1632.170044,1632.170044,6416800,Amazon
2019-01-23,1656.0,1657.430054,1612.0,1640.02002,1640.02002,5225200,Amazon
2019-01-24,1641.069946,1657.26001,1631.780029,1654.930054,1654.930054,4089900,Amazon
2019-01-25,1670.5,1683.47998,1661.609985,1670.569946,1670.569946,4945900,Amazon
2019-01-28,1643.589966,1645.0,1614.089966,1637.890015,1637.890015,4837700,Amazon
2019-01-29,1631.27002,1632.380005,1590.719971,1593.880005,1593.880005,4632800,Amazon
2019-01-30,1623.0,1676.949951,1619.680054,1670.430054,1670.430054,5783800,Amazon
2019-01-31,1692.8499760000002,1736.410034,1679.0799559999998,1718.72998,1718.72998,10910300,Amazon
2019-02-01,1638.880005,1673.060059,1622.01001,1626.22998,1626.22998,11506200,Amazon
2019-02-04,1623.0,1649.630005,1613.5,1633.310059,1633.310059,4929100,Amazon
2019-02-05,1643.339966,1665.26001,1642.5,1658.810059,1658.810059,4453100,Amazon
2019-02-06,1670.75,1672.26001,1633.339966,1640.26001,1640.26001,3939900,Amazon
2019-02-07,1625.0,1625.540039,1592.910034,1614.369995,1614.369995,4626600,Amazon
2019-02-08,1586.0,1588.589966,1566.76001,1588.219971,1588.219971,5657500,Amazon
2019-02-11,1600.97998,1609.290039,1586.0,1591.0,1591.0,3317300,Amazon
2019-02-12,1604.0,1639.400024,1598.880005,1638.01001,1638.01001,4858600,Amazon
2019-02-13,1647.0,1656.380005,1637.109985,1640.0,1640.0,3560300,Amazon
2019-02-14,1624.5,1637.900024,1606.060059,1622.650024,1622.650024,4120500,Amazon
2019-02-15,1627.859985,1628.910034,1604.5,1607.949951,1607.949951,4343900,Amazon
2019-02-19,1601.0,1634.0,1600.560059,1627.579956,1627.579956,3681700,Amazon
2019-02-20,1630.0,1634.930054,1610.119995,1622.099976,1622.099976,3337600,Amazon
2019-02-21,1619.849976,1623.560059,1600.910034,1619.439941,1619.439941,3483400,Amazon
2019-02-22,1623.5,1634.939941,1621.170044,1631.560059,1631.560059,3096200,Amazon
2019-02-25,1641.449951,1654.599976,1630.390015,1633.0,1633.0,3184500,Amazon
2019-02-26,1625.97998,1639.98999,1616.130005,1636.400024,1636.400024,2665800,Amazon
2019-02-27,1628.180054,1641.810059,1615.099976,1641.089966,1641.089966,3148800,Amazon
2019-02-28,1635.25,1651.77002,1633.829956,1639.829956,1639.829956,3025900,Amazon
2019-03-01,1655.130005,1674.26001,1651.0,1671.72998,1671.72998,4974900,Amazon
2019-03-04,1685.0,1709.430054,1674.359985,1696.1700440000002,1696.1700440000002,6167400,Amazon
2019-03-05,1702.949951,1707.800049,1689.0100100000002,1692.430054,1692.430054,3681500,Amazon
2019-03-06,1695.969971,1697.75,1668.280029,1668.949951,1668.949951,3996000,Amazon
2019-03-07,1667.369995,1669.75,1620.51001,1625.949951,1625.949951,4957000,Amazon
2019-03-08,1604.01001,1622.719971,1586.569946,1620.800049,1620.800049,4667000,Amazon
2019-03-11,1626.119995,1672.290039,1626.01001,1670.619995,1670.619995,3876400,Amazon
2019-03-12,1669.0,1684.27002,1660.97998,1673.099976,1673.099976,3614500,Amazon
2019-03-13,1683.0,1700.0,1679.3499760000002,1690.810059,1690.810059,3552000,Amazon
2019-03-14,1691.199951,1702.0,1684.339966,1686.219971,1686.219971,2946600,Amazon
2019-03-15,1703.0,1718.800049,1693.130005,1712.359985,1712.359985,7550900,Amazon
2019-03-18,1712.699951,1750.0,1712.630005,1742.1500239999998,1742.1500239999998,5429100,Amazon
2019-03-19,1753.5100100000002,1784.160034,1753.5100100000002,1761.8499760000002,1761.8499760000002,6364200,Amazon
2019-03-20,1769.939941,1799.5,1767.030029,1797.27002,1797.27002,6265600,Amazon
2019-03-21,1796.2600100000002,1823.75,1787.280029,1819.2600100000002,1819.2600100000002,5767800,Amazon
2019-03-22,1810.1700440000002,1818.97998,1763.109985,1764.77002,1764.77002,6363000,Amazon
2019-03-25,1757.790039,1782.680054,1747.5,1774.2600100000002,1774.2600100000002,5103800,Amazon
2019-03-26,1793.0,1805.77002,1773.359985,1783.7600100000002,1783.7600100000002,4865900,Amazon
2019-03-27,1784.130005,1787.5,1745.680054,1765.699951,1765.699951,4324800,Amazon
2019-03-28,1770.0,1777.930054,1753.469971,1773.4200440000002,1773.4200440000002,3043000,Amazon
2019-03-29,1786.5799559999998,1792.859985,1776.630005,1780.75,1780.75,3320800,Amazon
2019-04-01,1800.109985,1815.6700440000002,1798.72998,1814.189941,1814.189941,4238800,Amazon
2019-04-02,1811.02002,1820.0,1805.119995,1813.97998,1813.97998,3448100,Amazon
2019-04-03,1826.719971,1830.0,1809.619995,1820.699951,1820.699951,3980600,Amazon
2019-04-04,1820.6500239999998,1828.75,1804.199951,1818.859985,1818.859985,3623900,Amazon
2019-04-05,1829.0,1838.5799559999998,1825.189941,1837.280029,1837.280029,3640500,Amazon
2019-04-08,1833.22998,1850.199951,1825.109985,1849.859985,1849.859985,3752800,Amazon
